gasto_id,fecha_id,sucursal_id,tipo_gasto,monto,descripcion
177,599,1,Mantenimiento,295.2,Mantenimiento - Sucursal 1
178,509,1,Personal,2635.68,Personal - Sucursal 1
179,702,7,Marketing,1516.83,Marketing - Sucursal 3
180,517,5,Marketing,1691.93,Marketing - Sucursal 5
181,665,4,Seguros,603.16,Seguros - Sucursal 2
182,713,2,Combustible,132.05,Combustible - Sucursal 6
183,633,5,Personal,2777.52,Personal - Sucursal 5
184,52,1,Combustible,628.98,Combustible - Sucursal 8
185,564,6,Personal,2214.09,Personal - Sucursal 2
186,22,5,Alquiler Local,1784.95,Alquiler Local - Sucursal 2
187,609,5,Mantenimiento,95.82,Mantenimiento - Sucursal 1
188,62,6,Seguros,728.37,Seguros - Sucursal 3
189,266,6,Personal,2036.05,Personal - Sucursal 2
190,39,1,Seguros,1183.86,Seguros - Sucursal 1
191,432,8,Seguros,1048.58,Seguros - Sucursal 6
192,595,6,Personal,2700.37,Personal - Sucursal 6
193,663,4,Combustible,203.78,Combustible - Sucursal 3
194,460,8,Alquiler Local,2112.71,Alquiler Local - Sucursal 2
195,655,2,Personal,2195.2,Personal - Sucursal 4
196,1035,5,Alquiler Local,1839.97,Alquiler Local - Sucursal 2
197,649,7,Alquiler Local,2127.76,Alquiler Local - Sucursal 8
198,827,2,Combustible,361.64,Combustible - Sucursal 6
199,27,2,Mantenimiento,69.57,Mantenimiento - Sucursal 1
200,528,8,Personal,1709.66,Personal - Sucursal 4
201,566,4,Mantenimiento,464.15,Mantenimiento - Sucursal 8
202,786,2,Seguros,1000.73,Seguros - Sucursal 1
203,573,8,Personal,1780.58,Personal - Sucursal 2
204,653,7,Alquiler Local,1173.83,Alquiler Local - Sucursal 6
205,69,3,Combustible,395.04,Combustible - Sucursal 3
206,234,7,Personal,2003.13,Personal - Sucursal 8
207,334,6,Mantenimiento,315.5,Mantenimiento - Sucursal 8
208,472,5,Alquiler Local,2141.51,Alquiler Local - Sucursal 8
209,185,7,Marketing,1782.88,Marketing - Sucursal 2
210,1009,3,Seguros,1170.65,Seguros - Sucursal 4
211,163,4,Seguros,748.95,Seguros - Sucursal 4
212,43,8,Marketing,534.57,Marketing - Sucursal 7
213,256,8,Combustible,681.25,Combustible - Sucursal 5
214,18,7,Combustible,414.1,Combustible - Sucursal 6
215,902,7,Personal,2787.38,Personal - Sucursal 2
216,346,3,Personal,1877.62,Personal - Sucursal 1
217,286,2,Personal,2568.94,Personal - Sucursal 1
218,179,5,Mantenimiento,351.54,Mantenimiento - Sucursal 2
219,530,6,Mantenimiento,262.58,Mantenimiento - Sucursal 3
220,414,1,Alquiler Local,1480.21,Alquiler Local - Sucursal 7
221,617,1,Marketing,271.63,Marketing - Sucursal 2
222,720,2,Mantenimiento,245.61,Mantenimiento - Sucursal 8
223,925,3,Seguros,955.92,Seguros - Sucursal 3
224,251,5,Combustible,291.28,Combustible - Sucursal 1
225,314,4,Alquiler Local,945.52,Alquiler Local - Sucursal 2
226,530,2,Marketing,1473.98,Marketing - Sucursal 4
227,1057,8,Mantenimiento,471.44,Mantenimiento - Sucursal 8
228,331,7,Personal,2673.56,Personal - Sucursal 6
229,674,5,Mantenimiento,75.15,Mantenimiento - Sucursal 1
230,222,3,Alquiler Local,2026.77,Alquiler Local - Sucursal 3
231,683,2,Marketing,820.84,Marketing - Sucursal 2
232,849,4,Combustible,425.33,Combustible - Sucursal 2
233,907,3,Alquiler Local,1934.95,Alquiler Local - Sucursal 1
234,720,2,Alquiler Local,2260.87,Alquiler Local - Sucursal 5
235,430,7,Combustible,675.21,Combustible - Sucursal 4
236,110,3,Alquiler Local,1044.01,Alquiler Local - Sucursal 7
237,817,8,Mantenimiento,139.68,Mantenimiento - Sucursal 3
238,389,2,Marketing,526.26,Marketing - Sucursal 8
239,587,6,Seguros,328.25,Seguros - Sucursal 1
240,1019,5,Seguros,475.95,Seguros - Sucursal 1
241,980,7,Personal,2666.15,Personal - Sucursal 4
242,932,6,Personal,2619.05,Personal - Sucursal 5
243,425,4,Seguros,837.11,Seguros - Sucursal 2
244,751,1,Alquiler Local,1824.93,Alquiler Local - Sucursal 4
245,37,6,Combustible,686.07,Combustible - Sucursal 3
246,119,1,Alquiler Local,2321.31,Alquiler Local - Sucursal 1
247,828,5,Combustible,378.41,Combustible - Sucursal 4
248,566,3,Alquiler Local,1857.25,Alquiler Local - Sucursal 6
249,711,2,Combustible,730.1,Combustible - Sucursal 2
250,827,2,Seguros,369.56,Seguros - Sucursal 2
251,505,1,Mantenimiento,355.6,Mantenimiento - Sucursal 8
252,56,2,Combustible,653.55,Combustible - Sucursal 7
253,1063,6,Personal,2392.49,Personal - Sucursal 8
254,438,1,Alquiler Local,1268.04,Alquiler Local - Sucursal 8
255,736,5,Marketing,1438.14,Marketing - Sucursal 6
256,447,2,Combustible,775.71,Combustible - Sucursal 4
257,531,3,Combustible,426.32,Combustible - Sucursal 6
258,669,8,Mantenimiento,386.9,Mantenimiento - Sucursal 1
259,909,8,Seguros,840.58,Seguros - Sucursal 3
260,439,6,Seguros,439.29,Seguros - Sucursal 2
261,332,7,Marketing,1430.72,Marketing - Sucursal 6
262,283,1,Mantenimiento,83.74,Mantenimiento - Sucursal 5
263,189,6,Marketing,589.63,Marketing - Sucursal 8
264,61,4,Seguros,1023.75,Seguros - Sucursal 4
265,109,5,Combustible,585.78,Combustible - Sucursal 7
266,886,8,Seguros,530.68,Seguros - Sucursal 8
267,611,1,Marketing,727.23,Marketing - Sucursal 4
268,501,8,Seguros,320.49,Seguros - Sucursal 3
269,777,4,Alquiler Local,1501.96,Alquiler Local - Sucursal 8
270,628,4,Marketing,1965.21,Marketing - Sucursal 3
271,852,5,Seguros,878.69,Seguros - Sucursal 8
272,598,1,Combustible,128.45,Combustible - Sucursal 6
273,948,4,Combustible,554.68,Combustible - Sucursal 8
274,682,2,Marketing,1401.41,Marketing - Sucursal 3
275,301,2,Mantenimiento,346.28,Mantenimiento - Sucursal 1
276,570,2,Combustible,745.89,Combustible - Sucursal 7
277,1024,6,Seguros,881.52,Seguros - Sucursal 8
278,341,3,Marketing,1519.2,Marketing - Sucursal 3
279,539,5,Mantenimiento,53.41,Mantenimiento - Sucursal 2
280,874,5,Alquiler Local,1753.44,Alquiler Local - Sucursal 6
281,781,7,Alquiler Local,2303.17,Alquiler Local - Sucursal 8
282,134,6,Personal,2755.37,Personal - Sucursal 6
283,275,3,Marketing,1117.59,Marketing - Sucursal 5
284,464,8,Seguros,686.04,Seguros - Sucursal 6
285,934,5,Seguros,983.15,Seguros - Sucursal 8
286,1027,3,Seguros,598.8,Seguros - Sucursal 5
287,226,7,Alquiler Local,2384.24,Alquiler Local - Sucursal 6
288,105,4,Seguros,724.31,Seguros - Sucursal 2
289,469,3,Mantenimiento,296.75,Mantenimiento - Sucursal 8
290,144,8,Personal,1779.75,Personal - Sucursal 6
291,231,4,Marketing,1569.31,Marketing - Sucursal 5
292,823,8,Combustible,219.81,Combustible - Sucursal 7
293,612,2,Combustible,547.14,Combustible - Sucursal 8
294,105,7,Mantenimiento,265.99,Mantenimiento - Sucursal 4
295,849,5,Combustible,682.54,Combustible - Sucursal 1
296,496,7,Alquiler Local,1651.06,Alquiler Local - Sucursal 7
297,486,5,Alquiler Local,2266.25,Alquiler Local - Sucursal 1
298,91,3,Combustible,683.61,Combustible - Sucursal 7
299,157,8,Marketing,1895.35,Marketing - Sucursal 3
300,781,7,Personal,2300.41,Personal - Sucursal 7
301,347,1,Mantenimiento,205.25,Mantenimiento - Sucursal 7
302,400,3,Seguros,578.02,Seguros - Sucursal 2
303,226,2,Combustible,136.14,Combustible - Sucursal 7
304,60,7,Alquiler Local,2162.62,Alquiler Local - Sucursal 5
305,22,4,Seguros,769.17,Seguros - Sucursal 4
306,619,8,Personal,1726.22,Personal - Sucursal 3
307,27,4,Alquiler Local,2296.79,Alquiler Local - Sucursal 5
308,85,1,Seguros,1009.61,Seguros - Sucursal 5
309,784,1,Personal,2416.64,Personal - Sucursal 3
310,532,4,Mantenimiento,426.65,Mantenimiento - Sucursal 5
311,433,1,Personal,1869.46,Personal - Sucursal 6
312,289,2,Seguros,645.47,Seguros - Sucursal 2
313,374,4,Mantenimiento,452.41,Mantenimiento - Sucursal 2
314,482,1,Mantenimiento,408.52,Mantenimiento - Sucursal 7
315,403,7,Combustible,147.16,Combustible - Sucursal 5
316,395,7,Combustible,185.03,Combustible - Sucursal 5
317,266,3,Mantenimiento,463.14,Mantenimiento - Sucursal 1
318,993,2,Combustible,209.7,Combustible - Sucursal 1
319,860,3,Mantenimiento,340.02,Mantenimiento - Sucursal 4
320,815,8,Mantenimiento,487.66,Mantenimiento - Sucursal 6
321,828,3,Seguros,1160.25,Seguros - Sucursal 5
322,1027,5,Combustible,579.19,Combustible - Sucursal 6
323,326,8,Alquiler Local,1009.91,Alquiler Local - Sucursal 5
324,965,7,Combustible,524.87,Combustible - Sucursal 1
325,650,6,Alquiler Local,1533.64,Alquiler Local - Sucursal 5
326,207,2,Personal,1537.83,Personal - Sucursal 8
327,258,2,Seguros,484.4,Seguros - Sucursal 5
328,178,2,Alquiler Local,2270.91,Alquiler Local - Sucursal 4
329,445,5,Combustible,181.52,Combustible - Sucursal 3
330,466,2,Seguros,1074.08,Seguros - Sucursal 6
331,208,1,Personal,1553.54,Personal - Sucursal 5
332,326,4,Seguros,970.86,Seguros - Sucursal 2
333,162,5,Seguros,440.88,Seguros - Sucursal 8
334,579,7,Personal,2026.92,Personal - Sucursal 3
335,921,5,Marketing,1957.55,Marketing - Sucursal 1
336,211,8,Mantenimiento,361.37,Mantenimiento - Sucursal 2
337,736,7,Marketing,1452.5,Marketing - Sucursal 3
338,137,6,Combustible,214.42,Combustible - Sucursal 5
339,701,7,Mantenimiento,302.03,Mantenimiento - Sucursal 4
340,582,6,Mantenimiento,384.48,Mantenimiento - Sucursal 2
341,997,7,Alquiler Local,1246.46,Alquiler Local - Sucursal 8
342,566,8,Marketing,975.88,Marketing - Sucursal 1
343,269,6,Alquiler Local,2259.54,Alquiler Local - Sucursal 2
344,445,1,Marketing,851.65,Marketing - Sucursal 2
345,580,3,Combustible,755.58,Combustible - Sucursal 5
346,47,8,Personal,1598.59,Personal - Sucursal 1
347,1071,4,Personal,2312.91,Personal - Sucursal 7
348,651,7,Mantenimiento,377.75,Mantenimiento - Sucursal 4
349,546,6,Personal,2543.85,Personal - Sucursal 5
350,647,1,Combustible,648.13,Combustible - Sucursal 3
351,631,2,Marketing,568.72,Marketing - Sucursal 7
352,177,7,Marketing,798.44,Marketing - Sucursal 3
353,537,2,Marketing,318.85,Marketing - Sucursal 3
354,971,5,Personal,2201.46,Personal - Sucursal 2
355,3,3,Marketing,1692.82,Marketing - Sucursal 3
356,126,2,Mantenimiento,431.26,Mantenimiento - Sucursal 2
357,236,6,Mantenimiento,312.97,Mantenimiento - Sucursal 3
358,234,7,Mantenimiento,51.42,Mantenimiento - Sucursal 6
359,657,5,Alquiler Local,2008.26,Alquiler Local - Sucursal 7
360,628,5,Seguros,775.59,Seguros - Sucursal 8
361,967,2,Combustible,768.11,Combustible - Sucursal 3
362,814,8,Alquiler Local,2267.66,Alquiler Local - Sucursal 3
363,65,7,Alquiler Local,910.61,Alquiler Local - Sucursal 8
364,700,4,Combustible,790.95,Combustible - Sucursal 8
365,819,2,Alquiler Local,1728.33,Alquiler Local - Sucursal 7
366,826,3,Combustible,453.62,Combustible - Sucursal 3
367,838,4,Mantenimiento,262.89,Mantenimiento - Sucursal 8
368,606,3,Alquiler Local,1241.85,Alquiler Local - Sucursal 1
369,973,3,Combustible,504.42,Combustible - Sucursal 4
370,648,8,Seguros,674.07,Seguros - Sucursal 5
371,830,2,Alquiler Local,1594.2,Alquiler Local - Sucursal 4
372,324,3,Marketing,256.34,Marketing - Sucursal 5
373,37,3,Mantenimiento,61.82,Mantenimiento - Sucursal 2
374,889,1,Mantenimiento,154.6,Mantenimiento - Sucursal 1
375,927,4,Marketing,1466.32,Marketing - Sucursal 6
376,620,1,Mantenimiento,118.82,Mantenimiento - Sucursal 5
377,317,1,Mantenimiento,293.55,Mantenimiento - Sucursal 5
378,795,6,Alquiler Local,2076.24,Alquiler Local - Sucursal 1
379,367,6,Combustible,493.25,Combustible - Sucursal 1
380,878,5,Alquiler Local,1490.37,Alquiler Local - Sucursal 7
381,310,7,Alquiler Local,1721.6,Alquiler Local - Sucursal 1
382,1013,5,Personal,2548.52,Personal - Sucursal 2
383,530,6,Alquiler Local,2312.92,Alquiler Local - Sucursal 6
384,513,6,Personal,2347.65,Personal - Sucursal 2
385,956,5,Marketing,613.46,Marketing - Sucursal 2
386,310,2,Marketing,1356.61,Marketing - Sucursal 3
387,944,8,Personal,2114.09,Personal - Sucursal 5
388,772,4,Combustible,731.76,Combustible - Sucursal 3
389,302,5,Seguros,848.49,Seguros - Sucursal 8
390,495,3,Marketing,1638.45,Marketing - Sucursal 8
391,138,1,Combustible,399.93,Combustible - Sucursal 2
392,436,6,Personal,1838.27,Personal - Sucursal 5
393,718,6,Personal,1883.94,Personal - Sucursal 3
394,618,7,Alquiler Local,2004.68,Alquiler Local - Sucursal 5
395,457,8,Alquiler Local,1728.6,Alquiler Local - Sucursal 2
396,130,7,Personal,2864.53,Personal - Sucursal 2
397,176,7,Personal,2009.45,Personal - Sucursal 7
398,183,5,Marketing,1321.64,Marketing - Sucursal 8
399,150,1,Mantenimiento,271.43,Mantenimiento - Sucursal 6
400,531,1,Marketing,846.47,Marketing - Sucursal 8
401,599,7,Marketing,538.48,Marketing - Sucursal 8
402,412,7,Combustible,148.73,Combustible - Sucursal 4
403,518,2,Seguros,1031.81,Seguros - Sucursal 7
404,777,3,Personal,2765.47,Personal - Sucursal 3
405,145,2,Alquiler Local,1646.64,Alquiler Local - Sucursal 7
406,1034,4,Alquiler Local,947.5,Alquiler Local - Sucursal 2
407,562,2,Mantenimiento,248.14,Mantenimiento - Sucursal 1
408,629,4,Seguros,1124.89,Seguros - Sucursal 4
409,56,7,Combustible,191.49,Combustible - Sucursal 3
410,1014,8,Personal,2125.48,Personal - Sucursal 1
411,77,2,Combustible,116.97,Combustible - Sucursal 7
412,879,1,Seguros,522.43,Seguros - Sucursal 1
413,616,4,Marketing,514.66,Marketing - Sucursal 4
414,3,4,Marketing,1863.02,Marketing - Sucursal 3
415,1086,7,Mantenimiento,449.69,Mantenimiento - Sucursal 3
416,124,2,Seguros,601.67,Seguros - Sucursal 4
417,727,6,Personal,1642.73,Personal - Sucursal 8
418,265,8,Seguros,1158.39,Seguros - Sucursal 1
419,111,8,Seguros,868.54,Seguros - Sucursal 2
420,1087,3,Marketing,1621.8,Marketing - Sucursal 3
421,85,4,Personal,1821.15,Personal - Sucursal 1
422,5,8,Combustible,354.7,Combustible - Sucursal 2
423,726,6,Seguros,310.42,Seguros - Sucursal 6
424,669,8,Combustible,169.47,Combustible - Sucursal 1
425,960,3,Seguros,1026.59,Seguros - Sucursal 2
426,559,1,Seguros,879.58,Seguros - Sucursal 3
427,584,7,Combustible,350.36,Combustible - Sucursal 1
428,577,2,Alquiler Local,2089.18,Alquiler Local - Sucursal 4
429,917,6,Personal,2870.36,Personal - Sucursal 6
430,763,1,Personal,1595.18,Personal - Sucursal 3
431,229,4,Alquiler Local,2469.83,Alquiler Local - Sucursal 7
432,982,2,Combustible,548.71,Combustible - Sucursal 5
433,434,5,Combustible,322.95,Combustible - Sucursal 2
434,442,4,Personal,1546.96,Personal - Sucursal 7
435,410,4,Combustible,452.36,Combustible - Sucursal 7
436,17,5,Seguros,509.95,Seguros - Sucursal 5
437,760,6,Seguros,638.26,Seguros - Sucursal 7
438,119,3,Personal,2246.45,Personal - Sucursal 8
439,666,4,Alquiler Local,868.35,Alquiler Local - Sucursal 2
440,937,7,Marketing,486.97,Marketing - Sucursal 2
441,600,7,Combustible,294.06,Combustible - Sucursal 2
442,897,6,Seguros,1075.67,Seguros - Sucursal 1
443,413,7,Marketing,249.58,Marketing - Sucursal 1
444,235,3,Combustible,233.43,Combustible - Sucursal 4
445,999,7,Mantenimiento,427.73,Mantenimiento - Sucursal 6
446,362,1,Mantenimiento,105.7,Mantenimiento - Sucursal 8
447,330,2,Seguros,930.83,Seguros - Sucursal 3
448,262,8,Mantenimiento,114.86,Mantenimiento - Sucursal 7
449,161,3,Marketing,471.9,Marketing - Sucursal 5
450,503,1,Personal,2139.5,Personal - Sucursal 5
451,241,3,Mantenimiento,147.11,Mantenimiento - Sucursal 3
452,196,8,Seguros,552.64,Seguros - Sucursal 5
453,879,8,Seguros,662.99,Seguros - Sucursal 2
454,679,7,Alquiler Local,825.68,Alquiler Local - Sucursal 7
455,691,5,Alquiler Local,944.73,Alquiler Local - Sucursal 7
456,1094,6,Personal,1747.48,Personal - Sucursal 2
457,194,3,Marketing,1815.34,Marketing - Sucursal 3
458,745,7,Alquiler Local,2174.07,Alquiler Local - Sucursal 6
459,164,6,Alquiler Local,971.2,Alquiler Local - Sucursal 8
460,168,4,Seguros,833.53,Seguros - Sucursal 4
